ID,Code,Location,Prefecture,Site,Receiver,Antenna
電子基準点,,,,,,
局番号,基準点コード,局名称,県名,施設名,受信機名,アンテナ名
950339,EL05135540602,河内長野,大阪府,河内長野市立美加の台中学校,TOPCON NETG5,TPSCR.G5        GSI
950340,EL05135428901,熊取,大阪府,熊取町立北小学校,TRIMBLE ALLOY,TRM59800.80     GSI
950341,EL05334142602,村岡,兵庫県,兵庫県立兎和野高原野外教育センター,TOPCON NETG5,TPSCR.G5        GSI
950342,EL05234767501,和田山,兵庫県,兵庫県立農林水産技術総合センター北部農業技術センター,TRIMBLE NETR9,TPSCR.G5        GSI
950343,EL05235512402,西紀,兵庫県,篠山市立西紀小学校,TOPCON NETG5,TRM59800.80     GSI
950344,EL05234541602,兵庫一宮,兵庫県,宍粟市立神戸小学校,TRIMBLE ALLOY,TRM59800.80     GSI
950345,EL05234570702,山南,兵庫県,丹波市立和田中学校,TOPCON NETG5,TRM159900.00    GSI
950346,EL05234339202,南光,兵庫県,佐用町スポーツ公園「若あゆランド」,TOPCON NETG5,TRM59800.80     GSI
950347,EL05234368103,兵庫市川,兵庫県,市川町立川辺小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950348,EL05235327601,猪名川,兵庫県,猪名川町立大島小学校,TRIMBLE NETR9,TPSCR.G5        GSI
950349,EL05235313401,三田,兵庫県,三田市立長坂中学校,TRIMBLE ALLOY,TRM159900.00    GSI
950350,EL05234247303,新宮,兵庫県,たつの市立越部小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
950351,EL05235117702,神戸北,兵庫県,神戸市藤原山公園,TRIMBLE ALLOY,TPSCR.G5        GSI
950352,EL05234176903,三木,兵庫県,三木市立三木幼稚園,TOPCON NETG5,TPSCR.G5        GSI
950353,EL05235124701,宝塚,兵庫県,宝塚市立西山小学校,TOPCON NETG5,TPSCR.G5        GSI
950354,EL05234164601,加古川,兵庫県,加古川市立東神吉南小学校,TOPCON NETG5,TRM159900.00    GSI
950355,EL05235036002,西宮,兵庫県,西宮市立小松小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950356,EL05235012303,神戸中央,兵庫県,神戸市大倉山公園,TRIMBLE ALLOY,TRM159900.00    GSI
950357,EL05234040103,家島,兵庫県,姫路市Ｂ＆Ｇ海洋センター,TOPCON NETG5,TPSCR.G5        GSI
950358,EL05234070705,明石,兵庫県,明石市立鳥羽小学校,TRIMBLE ALLOY,TRM59800.80     GSI
950359,EL05135609102,淡路,兵庫県,淡路市立岩屋中学校,TOPCON NETG5,TPSCR.G5        GSI
950360,EL05134569803,淡路一宮,兵庫県,淡路市立尾崎小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
950361,EL05134471001,洲本,兵庫県,兵庫県立洲本実業高等学校,TRIMBLE ALLOY,TRM159900.00    GSI
950362,EL05134450802,西淡,兵庫県,南あわじ市立御原中学校,TRIMBLE ALLOY,TRM159900.00    GSI
950363,EL05134256801,南淡,兵庫県,旧阿万中学校校庭,TOPCON NETG5,TRM59800.80     GSI
950364,EL05136608402,室生,奈良県,旧西谷小学校,TRIMBLE ALLOY,TRM59800.80     GSI
950365,EL05135654801,広陵,奈良県,広陵町立真美ヶ丘第一小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
950366,EL05135456602,五條,奈良県,五條市立北宇智小学校,TOPCON NETG5,TPSCR.G5        GSI
950367,EL05135074702,下北山,奈良県,下北山村立下北山中学校,TRIMBLE ALLOY,TRM159900.00    GSI
950368,EL05135320801,打田,和歌山県,紀の川市若もの広場,TRIMBLE ALLOY,TRM159900.00    GSI
950369,EL05135302502,和歌山,和歌山県,和歌山市立少年自然の家,TOPCON NETG5,TRM59800.80     GSI
950370,EL05135246701,高野,和歌山県,高野町立高野山中学校,TRIMBLE ALLOY,TRM159900.00    GSI
950371,EL05035735002,和歌山美山,和歌山県,笠松小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950372,EL05035619402,川辺,和歌山県,御坊市川辺町学校組合立大成中学校,TOPCON NETG5,TRM59800.80     GSI
950373,EL05035567202,本宮,和歌山県,田辺市立本宮小学校,TRIMBLE NETR9,TPSCR.G5        GSI
950374,EL05035544001,中辺路,和歌山県,緑の郷古道ヶ丘,TRIMBLE ALLOY,TRM159900.00    GSI
950375,EL05035439102,田辺,和歌山県,田辺市立会津小学校,NETG3,TPSCR.G5
950376,EL05035370302,那智勝浦,和歌山県,那智勝浦町立下里中学校,TOPCON NETG5,TRM159900.00    GSI
950377,EL05035240701,すさみ１,和歌山県,すさみ町立江住中学校,NETR9,TRM59800.80     GSI
950378,EL05334104301,鹿野,鳥取県,鹿野町運動広場,TRIMBLE ALLOY,TRM59800.80     GSI
950379,EL05333031503,溝口,鳥取県,伯耆町立溝口中学校　寄宿舎「青雲寮」,TOPCON NETG5,TPSCR.G5        GSI
950380,EL05234711801,智頭,鳥取県,智頭町立智頭中学校,TOPCON NETG5,TRM59800.80     GSI
950381,EL05233529402,日南,鳥取県,日南町農林業担い手研修施設イチイ荘,TRIMBLE ALLOY,TRM59800.80     GSI
950382,EL05433314902,五箇,島根県,旧五箇中学校,TRIMBLE ALLOY,TPSCR.G5        GSI
950383,EL05432171802,西ノ島,島根県,西ノ島町立浦郷小学校,TRIMBLE ALLOY,TPSCR.G5        GSI
950384,EL05332057902,出雲,島根県,出雲市立高浜小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950385,EL05232673901,仁多,島根県,三成公園,TOPCON NETG5,TPSCR.G5C       GSI
950386,EL05232642002,大田,島根県,大田市立大田第一中学校,TRIMBLE ALLOY,TPSCR.G5        GSI
950387,EL05232452703,赤来,島根県,飯南町立赤来中学校,TOPCON NETG5,TRM59800.80     GSI
950388,EL05231172301,三隅,島根県,浜田市立岡見小学校,TOPCON NETG5,TRM59800.80     GSI
950389,EL05233761301,中和,岡山県,市営国民宿舎津黒高原荘,TOPCON NETG5,TRM59800.80     GSI
950390,EL05234521501,岡山大原,岡山県,美作市民グラウンド,TRIMBLE ALLOY,TRM59800.80     GSI
950391,EL05234412802,作東,岡山県,バレンタインパーク作東,TOPCON NETG5,TPSCR.G5        GSI
950392,EL05233450802,落合,岡山県,真庭市立木山小学校,TRIMBLE ALLOY,TRM159900.00    GSI
950393,EL05233377602,岡山中央,岡山県,美咲町立加美小学校,TRIMBLE ALLOY,TRM59800.80     GSI
950394,EL05233147701,高梁,岡山県,神原スポーツ公園,TOPCON NETG5,TRM59800.80     GSI
950395,EL05233174402,岡山御津,岡山県,岡山市立御津中学校,TOPCON NETG5,TPSCR.G5        GSI
